,spot,wave_direction,wave_type,crowd_level,reg_link,latitude,longitude
5,Gavin’s Reef,Right & left,Reef break,Empty,https://surfing-waves.com/atlas/north_america/central_america/costa_rica/spot/gavins_reef.html,9.65576553344727,-82.73791503906250
6,Hotel Pelicano,Right & left,Beach break,Empty,https://surfing-waves.com/atlas/north_america/central_america/costa_rica/spot/hotel_pelicano.html,9.52152824401855,-84.45134735107422
7,"Jaco Beach, south end",Right,Beach break,Not Too Bad,https://surfing-waves.com/atlas/north_america/central_america/costa_rica/spot/jaco_beach_south_end.html,9.59516429901123,-84.62339782714844
8,Malpais,Right & left,Beach break,Not Too Bad,https://surfing-waves.com/atlas/north_america/central_america/costa_rica/spot/malpais.html,9.60752010345459,-85.15468597412110
9,Near Tamarindo,Left,Beach break,Empty,https://surfing-waves.com/atlas/north_america/central_america/costa_rica/spot/near_tamarindo.html,10.30090141296387,-85.84562683105469
10,Pavones,Left,Point break,Busy,https://surfing-waves.com/atlas/north_america/central_america/costa_rica/spot/pavones.html,8.39595985412598,-83.14006805419922
11,Playa Avellanas,Right & left,Rivermouth,Not Too Bad,https://surfing-waves.com/atlas/north_america/central_america/costa_rica/spot/playa_avellanas.html,10.23380088806152,-85.84356689453125
12,Playa Dominical,Right & left,Beach break,Not Too Bad,https://surfing-waves.com/atlas/north_america/central_america/costa_rica/spot/playa_dominical.html,9.24953079223633,-83.86962890625000
13,Playa Dominical Rivermouth,Right,Rivermouth,Not Too Bad,https://surfing-waves.com/atlas/north_america/central_america/costa_rica/spot/playa_dominical_rivermouth.html,9.25207233428955,-83.87083435058594
14,Playa Grande,Right & left,Beach break,Empty,https://surfing-waves.com/atlas/north_america/central_america/costa_rica/spot/playa_grande.html,10.32370090484619,-85.85815429687500
15,Playa Hermosa,Right,Beach break,Can Get Busy,https://surfing-waves.com/atlas/north_america/central_america/costa_rica/spot/playa_hermosa.html,9.58881664276123,-84.62348175048828
16,Playa Langosta,Right & left,Reef break,Not Too Bad,https://surfing-waves.com/atlas/north_america/central_america/costa_rica/spot/playa_langosta.html,10.30031013488770,-85.84030151367188
17,Playa Marbella,Right & left,Beach break,Can Get Busy,https://surfing-waves.com/atlas/north_america/central_america/costa_rica/spot/playa_marbella.html,10.07450199127197,-85.77747344970703
18,Playa Negra,Right,Reef break,Busy,https://surfing-waves.com/atlas/north_america/central_america/costa_rica/spot/playa_negra.html,10.19025611877441,-85.83583831787110
19,Playa Nosara,Right & left,Beach break,Empty,https://surfing-waves.com/atlas/north_america/central_america/costa_rica/spot/playa_nosara.html,9.96749782562256,-85.69061279296875
20,Playa Santa Teresa,Right & left,Beach break,Not Too Bad,https://surfing-waves.com/atlas/north_america/central_america/costa_rica/spot/playa_santa_teresa.html,9.62106037139893,-85.16876220703125
21,Quepos-Manuel Antonio,Right & left,Beach break,Can Get Busy,https://surfing-waves.com/atlas/north_america/central_america/costa_rica/spot/quepos_manuel_antonio.html,9.41773414611816,-84.17054748535156
22,Suck Rock,Right,Reef break,Not Too Bad,https://surfing-waves.com/atlas/north_america/central_america/costa_rica/spot/suck_rock.html,9.64407730102539,-85.22094726562500
